Step        Temp           TotEng       E_pair      PotEng      KinEng
    0       1e-07        24.80326     24.80326     24.80326   6.4630073e-11 
    1000    14.410476   -25.510849   -25.520162   -25.520162  0.0093135008 
    2000    18.221006   -26.112134   -26.123911   -26.123911  0.011776249 
    3000    20.617246   -27.384436   -27.397761   -27.397761  0.013324941 
    4000    19.84096    -28.054624   -28.067447   -28.067447  0.012823227 
    5000    21.352563   -28.563352   -28.577152   -28.577152  0.013800177 
    6000    24.290986   -28.987172   -29.002871   -29.002871  0.015699282 
    7000    25.693665   -29.405704   -29.42231    -29.42231   0.016605834 
    8000    23.093334   -29.58431    -29.599236   -29.599236  0.014925239 
    9000    23.850158   -29.532359   -29.547774   -29.547774  0.015414375 
   10000    34.756257   -29.556007   -29.57847    -29.57847   0.022462994 
   11000    32.991249   -29.566671   -29.587993   -29.587993  0.021322268 
   12000    35.796774   -29.563151   -29.586286   -29.586286  0.023135481 
   13000    37.039691   -29.551844   -29.575783   -29.575783  0.023938779 
   14000    38.987936   -29.546641   -29.571839   -29.571839  0.025197931 
   15000    44.921071    -29.5496    -29.578632   -29.578632  0.029032521 
   16000    43.725769   -29.522493   -29.550753   -29.550753  0.028259996 
   17000    53.845236   -29.524387   -29.559187   -29.559187  0.034800215 
   18000    57.270709   -29.483205   -29.520219   -29.520219  0.037014101 
   19000    51.970968   -29.507329   -29.540917   -29.540917  0.033588874 
   20000    54.840493   -29.547889   -29.583333   -29.583333  0.03544345 
   21000    70.654251   -29.477686    -29.52335   -29.52335   0.045663893 
   22000    58.254375   -29.534499   -29.572149   -29.572149  0.037649845 
   23000    75.744859   -29.500433   -29.549387   -29.549387  0.048953957 
   24000    80.121518   -29.511931   -29.563714   -29.563714  0.051782595 
   25000    74.488821   -29.520151   -29.568294   -29.568294  0.048142179 
   26000    76.838153   -29.480468   -29.530128   -29.530128  0.049660554 
   27000    83.059672   -29.467608    -29.52129    -29.52129  0.053681526 
   28000    85.193784   -29.500583   -29.555643   -29.555643  0.055060805 
   29000    85.385368   -29.460064   -29.515249   -29.515249  0.055184625 
   30000    103.47066   -29.474695   -29.541568   -29.541568  0.066873162 
   31000    109.25433   -29.450218    -29.52083    -29.52083  0.070611152 
   32000    86.984426   -29.468119   -29.524337   -29.524337  0.056218098 
   33000    102.42111   -29.488924   -29.555119   -29.555119  0.066194837 
   34000    89.812628   -29.484381   -29.542427   -29.542427  0.058045966 
   35000    105.45048   -29.448014   -29.516167   -29.516167   0.06815272 
   36000    114.72626   -29.458373   -29.532521   -29.532521  0.074147664 
   37000     113.1576   -29.449883   -29.523017   -29.523017   0.07313384 
   38000    110.39508   -29.462123   -29.533471   -29.533471  0.071348423 
   39000    126.65079   -29.429032   -29.510887   -29.510887  0.081854497 
   40000    115.25797   -29.449218    -29.52371    -29.52371  0.074491312 
   41000    111.51047   -29.411275   -29.483345   -29.483345  0.072069298 
   42000    119.11289   -29.420617     -29.4976     -29.4976   0.07698275 
   43000    133.68319    -29.44076   -29.527159   -29.527159  0.086399545 
   44000    124.32155   -29.381295   -29.461644   -29.461644  0.080349109 
   45000    128.70356   -29.444795   -29.527976   -29.527976  0.083181206 
   46000    141.09658   -29.457241   -29.548431   -29.548431  0.091190823 
   47000    135.38608   -29.312766   -29.400266   -29.400266  0.087500123 
   48000    131.48318    -29.39317   -29.478147   -29.478147  0.084977673 
   49000    152.88812   -29.354873   -29.453685   -29.453685    0.0988117 
   50000    146.38429   -29.412389   -29.506998   -29.506998  0.094608271 
   51000    156.28405   -29.412543    -29.51355    -29.51355    0.1010065 
   52000    171.69976   -29.444061   -29.555031   -29.555031   0.11096968 
   53000    155.00446   -29.414931   -29.515111   -29.515111    0.1001795 
   54000    165.60787   -29.414851   -29.521883   -29.521883   0.10703249 
   55000    159.01156   -29.319026   -29.421795   -29.421795   0.10276929 
   56000    171.24516   -29.362959   -29.473635   -29.473635   0.11067587 
   57000    168.51362   -29.374713   -29.483624   -29.483624   0.10891047 
   58000    176.04211     -29.4058   -29.519576   -29.519576   0.11377614 
   59000    164.52393   -29.344098    -29.45043    -29.45043   0.10633194 
   60000    172.42038   -29.359668   -29.471104   -29.471104   0.11143542 
   61000     172.9493   -29.429536   -29.541314   -29.541314   0.11177726 
   62000    186.65247   -29.382487    -29.50312    -29.50312   0.12063363 
   63000    202.51429   -29.389297   -29.520182   -29.520182   0.13088513 
   64000    176.67702   -29.373706   -29.487892   -29.487892   0.11418649 
   65000    202.71212   -29.427706   -29.558719   -29.558719   0.13101299 
   66000    208.00912   -29.403588   -29.538025   -29.538025   0.13443644 
   67000     200.2043   -29.346338    -29.47573    -29.47573   0.12939218 
   68000    216.72068   -29.353975   -29.494042   -29.494042   0.14006673 
   69000    198.93696   -29.307158   -29.435731   -29.435731    0.1285731 
   70000    207.70403   -29.300023   -29.434262   -29.434262   0.13423926 
   71000    227.67522   -29.339439   -29.486586   -29.486586   0.14714666 
   72000    224.75834   -29.301603   -29.446864   -29.446864   0.14526148 
   73000    179.40262   -29.204285   -29.320233   -29.320233   0.11594804 
   74000    219.01243   -29.235169   -29.376717   -29.376717   0.14154789 
   75000    219.40291   -29.232555   -29.374356   -29.374356   0.14180026 
   76000    241.73504   -29.289768   -29.446002   -29.446002   0.15623353 
   77000    219.81201   -29.361484   -29.503549   -29.503549   0.14206466 
   78000    236.60013    -29.31122   -29.464135   -29.464135   0.15291484 
   79000    250.55281   -29.240573   -29.402506   -29.402506   0.16193246 
   80000     221.1612   -29.263275   -29.406212   -29.406212   0.14293664 
   81000    240.91567   -29.143558   -29.299262   -29.299262   0.15570397 
   82000    232.50608   -29.281689   -29.431958   -29.431958   0.15026885 
   83000    232.48672   -29.303415   -29.453671   -29.453671   0.15025633 
   84000    253.32162    -29.18883   -29.352552   -29.352552   0.16372195 
   85000    220.05697    -29.34241   -29.484633   -29.484633   0.14222298 
   86000    259.07544   -29.318421   -29.485862   -29.485862   0.16744064 
   87000     272.8635   -29.220307   -29.396659   -29.396659   0.17635188 
   88000    288.31976   -29.025424   -29.211766   -29.211766   0.18634127 
   89000    258.79033   -29.318609   -29.485865   -29.485865   0.16725638 
   90000    286.99179   -29.252577    -29.43806    -29.43806     0.185483 
   91000    275.90317   -29.139587   -29.317903   -29.317903   0.17831642 
   92000    273.95785   -29.167608   -29.344668   -29.344668   0.17705916 
   93000    271.79291   -29.308747   -29.484407   -29.484407   0.17565995 
   94000     266.8244   -29.297211    -29.46966    -29.46966   0.17244881 
   95000    283.89888   -29.290615   -29.474099   -29.474099   0.18348405 
   96000    295.43442   -29.103305   -29.294245   -29.294245   0.19093948 
   97000    310.79055    -29.11157   -29.312434   -29.312434   0.20086416 
   98000    290.24516   -29.128399   -29.315985   -29.315985   0.18758566 
   99000    289.07927   -29.127184   -29.314016   -29.314016   0.18683214 
  100000    332.97385   -29.072829    -29.28803    -29.28803   0.21520124 
  101000    306.19172   -29.213125   -29.411017   -29.411017   0.19789193 
  102000     292.0271   -29.090301   -29.279038   -29.279038   0.18873733 
  103000    336.81646    -29.06491   -29.282594   -29.282594   0.21768472 
  104000    303.83577   -29.102825   -29.299195   -29.299195   0.19636928 
