Step Temp TotEng E_pair PotEng KinEng 
       0        1e-07    1284.8674    1284.8674    1284.8674 7.7556087e-11 
   50000    141.50102   -31.657646   -31.767389   -31.767389   0.10974265 
  100000     323.2327    -31.38325   -31.633936   -31.633936   0.25068664 
  150000    425.86885   -31.361118   -31.691405   -31.691405   0.33028722 
  200000    569.82367   -30.930033   -31.371966   -31.371966   0.44193294 
  250000    741.27593   -34.901321   -35.476225   -35.476225    0.5749046 
  300000    844.80149   -34.139447   -34.794642   -34.794642   0.65519498 
  350000    1047.8452   -34.091247   -34.903915   -34.903915   0.81266777 
  400000    1215.0496   -33.504317   -34.446662   -34.446662   0.94234494 
  450000    1277.6599   -33.595204   -34.586107   -34.586107   0.99090303 
  500000    1594.1495   -33.648651   -34.885011   -34.885011      1.23636 
  550000    1602.0213   -32.601187   -33.843652   -33.843652     1.242465 
  600000    1815.3094   -33.774344   -35.182227   -35.182227    1.4078829 
  650000    1975.3525   -32.881979   -34.413985   -34.413985    1.5320061 
  700000    2267.5449    -32.37197   -34.130589   -34.130589    1.7586191 
  750000    2453.4383   -33.756135   -35.658926   -35.658926    1.9027907 
  800000    2364.9608    -32.94598   -34.780151   -34.780151     1.834171 
  850000    2704.1993   -32.223201   -34.320472   -34.320472    2.0972712 
  900000    2711.1746   -31.164212   -33.266893   -33.266893    2.1026809 
  950000    2817.4655   -32.863742   -35.048858   -35.048858     2.185116 
 1000000    3009.9609    -33.07062   -35.405028   -35.405028    2.3344079 
 1000037    3009.9609   -35.114358   -37.448766   -37.448766    2.3344079 
 1050000    2905.7178   -33.600344   -35.853905   -35.853905    2.2535611 
 1100000    3019.9265   -33.395939   -35.738076   -35.738076    2.3421368 
 1100037    3049.3065    -33.52503   -35.889953   -35.889953    2.3649228 
 1100037    3049.3065    -33.52503   -35.889953   -35.889953    2.3649228 
 1150000     2905.053   -33.060049   -35.313094   -35.313094    2.2530454 
 1200000    2739.6122   -33.385863   -35.510599   -35.510599     2.124736 
 1250000    2639.5739   -33.982042   -36.029193   -36.029193    2.0471502 
 1300000    2372.7375   -34.091565   -35.931768   -35.931768    1.8402024 
 1350000    2191.1024   -34.330244   -36.029577   -36.029577    1.6993333 
 1400000    2061.4022   -34.345881   -35.944624   -35.944624    1.5987429 
 1450000    1926.5957   -34.797753   -36.291945   -36.291945    1.4941922 
 1500000     1793.165   -34.997939   -36.388648   -36.388648    1.3907086 
 1550000    1643.2861   -35.205922   -36.480391   -36.480391    1.2744684 
 1600000    1501.8708   -35.277282   -36.442074   -36.442074    1.1647922 
 1650000    1352.0246   -35.602456   -36.651033   -36.651033    1.0485773 
 1700000    1196.6067   -35.799275   -36.727317   -36.727317    0.9280413 
 1750000    1058.5059   -35.985464     -36.8064     -36.8064   0.82093578 
 1800000    884.84185   -36.153347   -36.839596   -36.839596   0.68624871 
 1850000    755.39499   -36.408902   -36.994757   -36.994757   0.58585479 
 1900000    596.37403   -36.602315   -37.064839   -37.064839   0.46252436 
 1950000    448.19642   -36.782602   -37.130206   -37.130206    0.3476036 
 2000000    299.72953    -37.01571   -37.248169   -37.248169   0.23245849 
 2050000    150.30753   -37.230961   -37.347534   -37.347534   0.11657264 
 2100000   0.14354746   -37.450139    -37.45025    -37.45025 0.00011132979 
 2100037  0.030817736    -37.45024   -37.450264   -37.450264 2.390103e-05 

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
        0        1e-07    1284.8674    1284.8674    1284.8674 7.7556087e-11 
   50000    141.50102   -31.657646   -31.767389   -31.767389   0.10974265 
  100000     323.2327    -31.38325   -31.633936   -31.633936   0.25068664 
  150000    425.86885   -31.361118   -31.691405   -31.691405   0.33028722 
  200000    569.82367   -30.930033   -31.371966   -31.371966   0.44193294 
  250000    741.27593   -34.901321   -35.476225   -35.476225    0.5749046 
  300000    844.80149   -34.139447   -34.794642   -34.794642   0.65519498 
  350000    1047.8452   -34.091247   -34.903915   -34.903915   0.81266777 
  400000    1215.0496   -33.504317   -34.446662   -34.446662   0.94234494 
  450000    1277.6599   -33.595204   -34.586107   -34.586107   0.99090303 
  500000    1594.1495   -33.648651   -34.885011   -34.885011      1.23636 
  550000    1602.0213   -32.601187   -33.843652   -33.843652     1.242465 
  600000    1815.3094   -33.774344   -35.182227   -35.182227    1.4078829 
  650000    1975.3525   -32.881979   -34.413985   -34.413985    1.5320061 
  700000    2267.5449    -32.37197   -34.130589   -34.130589    1.7586191 
  750000    2453.4383   -33.756135   -35.658926   -35.658926    1.9027907 
  800000    2364.9608    -32.94598   -34.780151   -34.780151     1.834171 
  850000    2704.1993   -32.223201   -34.320472   -34.320472    2.0972712 
  900000    2711.1746   -31.164212   -33.266893   -33.266893    2.1026809 
  950000    2817.4655   -32.863742   -35.048858   -35.048858     2.185116 
 1000000    3009.9609    -33.07062   -35.405028   -35.405028    2.3344079 

























